Source	Tag	Name	SR_LOCATION	Date
Dog Friendly	doggies	Ruggles Café & Bakery 	"2365 Rice Blvd. Suite A , Houston, TX 77005"	
Dog Friendly	doggies	Berryhill Baja Grill 	"3407 Montrose A_8 , Houston, TX 77006"	
Dog Friendly	doggies	Brick House Tavern and Tap 	"12910 Northwest Freeway , Houston, TX 77040"	
Dog Friendly	doggies	Natchee’s Supper ‘n Punch 	"3622 Main , Houston, TX 77002"	
Dog Friendly	doggies	Petite Sweets 	"2700 W. Alabama , Houston, TX 77098"	
Dog Friendly	doggies	Christian’s Tailgate Bar & Grill II 	"2000 Bagby Suite 106 , Houston, TX 77002"	
Dog Friendly	doggies	Christian’s Tailgate Bar & Grill III 	"2820 White Oak , Houston, TX 77007"	
Dog Friendly	doggies	J. Black’s Houston_Washington Avenue LLC 	"110 S. Heights Blvd. , Houston, TX 77007"	
Dog Friendly	doggies	The King’s Head 	"1809 Eldridge Parkway , Houston, TX 77077"	
Dog Friendly	doggies	Mission Burritos 801 	"2245 W. Alabama , Houston, TX 77098"	
Dog Friendly	doggies	Mission Burritos 802 	"1609 Durham , Houston, TX 77007"	
Dog Friendly	doggies	Winston’s on Washington 	"5111 Washington, Houston, TX 77007"	
Dog Friendly	doggies	Cottonwood 	"3422 N. Shepherd , Houston, TX 77018"	
Dog Friendly	doggies	Taco Milagro Kirby 	"2555 Kirby , Houston, TX 77019"	
Dog Friendly	doggies	Jimmy’s Ice House 	"2803 White Oak, Houston, TX "	
Dog Friendly	doggies	Baba Yega 	"2607 Grant , Houston, TX 77006"	
Dog Friendly	doggies	Mia’s Table 	"3131 Argonne , Houston, TX 77098"	
Parking Tickets	pticket		"5000 WASHINGTON STREET, Houston, TX"	1/1/13
Parking Tickets	pticket		"5200 WASHINGTON STREET, Houston, TX"	1/1/13
Parking Tickets	pticket		"16200 DIANA LN, Houston, TX"	1/1/13
Parking Tickets	pticket		"5700 GESSNER RD, Houston, TX"	1/1/13
Parking Tickets	pticket		"7900 SAM HOUSTON ST, Houston, TX"	1/1/13
Parking Tickets	pticket		"7900 SAM HOUSTON ST, Houston, TX"	1/1/13
Parking Tickets	pticket		"8800 SAM HOUSTON ST, Houston, TX"	1/1/13
Parking Tickets	pticket		"9400 W SAM HOUSTON PWY, Houston, TX"	1/1/13
Parking Tickets	pticket		"9400 SAM HOUSTON ST, Houston, TX"	1/1/13
Parking Tickets	pticket		"2800 N TERMINAL RD, Houston, TX"	1/1/13
Parking Tickets	pticket		"8200 RICHMOND AVE, Houston, TX"	1/1/13
Parking Tickets	pticket		"700 IRVINGTON BLVD, Houston, TX"	1/1/13
Parking Tickets	pticket		"6200 CREEKBEND DR, Houston, TX"	1/1/13
Parking Tickets	pticket		"2900 DUNVALE RD, Houston, TX"	1/1/13
Parking Tickets	pticket		"12300 NORTH FWY, Houston, TX"	1/1/13
Parking Tickets	pticket		"2900 DUNVALE RD, Houston, TX"	1/1/13
Parking Tickets	pticket		"5800 FARWELL DR, Houston, TX"	1/1/13
Parking Tickets	pticket		"11900 HENDON LN, Houston, TX"	1/1/13
Parking Tickets	pticket		"5100 STONEWALL, Houston, TX"	1/1/13
Parking Tickets	pticket		"1900 PEPPERWOOD LN, Houston, TX"	1/1/13
Parking Tickets	pticket		"3950 TERMINAL RD, Houston, TX"	1/1/13
Parking Tickets	pticket		"2900 SYCAMORE SPRINGS DR, Houston, TX"	1/1/13
Parking Tickets	pticket		"2800 CLEAR RIDGE DR, Houston, TX"	1/1/13
Parking Tickets	pticket		"6800 SAM HOUSTON ST, Houston, TX"	1/1/13
Parking Tickets	pticket		"12023 BISSONNET ST, Houston, TX"	1/1/13
Parking Tickets	pticket		"3800 CUMMINS ST, Houston, TX"	1/1/13
Parking Tickets	pticket		"2700 DUNVALE RD, Houston, TX"	1/2/13
Parking Tickets	pticket		" JOHN F KENNEDY BLVD, Houston, TX"	1/2/13
Parking Tickets	pticket		"1800 PALM ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"3838 RICHMOND AVE, Houston, TX"	1/2/13
Parking Tickets	pticket		"111 YALE, Houston, TX"	1/2/13
Parking Tickets	pticket		"11638 GLENWOLDE DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"2800 N TERMINAL RD, Houston, TX"	1/2/13
Parking Tickets	pticket		"2800 N TERMINAL RD, Houston, TX"	1/2/13
Parking Tickets	pticket		"2800 N TERMINAL RD, Houston, TX"	1/2/13
Parking Tickets	pticket		"4400 GIBSON ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"7800 AIRPORT BLVD, Houston, TX"	1/2/13
Parking Tickets	pticket		"3700 GESSNER RD, Houston, TX"	1/2/13
Parking Tickets	pticket		"5400 BRAESVALLEY DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"500 LAMAR ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"2800 N TERMINAL RD, Houston, TX"	1/2/13
Parking Tickets	pticket		"2300 LOUISIANA ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1000 TEXAS ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1100 TEXAS ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"800 CONGRESS ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1700 MICHIGAN ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"3700 GESSNER RD, Houston, TX"	1/2/13
Parking Tickets	pticket		"100 N SAN JACINTO ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"30 HERMANN MUSEUM CIR, Houston, TX"	1/2/13
Parking Tickets	pticket		"400 HADLEY ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 LUBBOCK, Houston, TX"	1/2/13
Parking Tickets	pticket		"11100 LAKESIDE FOREST LN, Houston, TX"	1/2/13
Parking Tickets	pticket		"11100 LAKESIDE FOREST LN, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 LUBBOCK, Houston, TX"	1/2/13
Parking Tickets	pticket		"11100 LAKESIDE FOREST LN, Houston, TX"	1/2/13
Parking Tickets	pticket		"100 WEBSTER ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"11100 LAKESIDE FOREST LN, Houston, TX"	1/2/13
Parking Tickets	pticket		"11100 LAKESIDE FOREST LN, Houston, TX"	1/2/13
Parking Tickets	pticket		"100 WEBSTER ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"5500 PINE ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 LUBBOCK, Houston, TX"	1/2/13
Parking Tickets	pticket		"100 WEBSTER ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"100 WEBSTER ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"1200 DELANO ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"100 WEBSTER ST, Houston, TX"	1/2/13
Parking Tickets	pticket		"11100 RIVER VIEW DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"11100 RIVER VIEW DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 LUBBOCK, Houston, TX"	1/2/13
Parking Tickets	pticket		"7800 AIRPORT BLVD, Houston, TX"	1/2/13
Parking Tickets	pticket		"11100 RIVER VIEW DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"2200 MONTCLAIR DR, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 LUBBOCK, Houston, TX"	1/2/13
Parking Tickets	pticket		"1400 LUBBOCK, Houston, TX"	1/2/13
Parking Tickets	pticket		"5100 WASHINGTON AVE, Houston, TX"	1/2/13
Parking Tickets	pticket		"2500 MCCUE RD, Houston, TX"	1/2/13
